------------->第1类：学院		<-------------
华中科技大学	华中科技大学武昌分校图书馆---欢迎您的到来！	湖北省部分高校科技文献共享平台 04月03日试用数据库  《美国科学院院报》（PNAS）外文数据库 05月20日 核心期刊网络信息服务系统 05月11日 清华紫光“6+1”...
华中科技大学	华中科技大学文华学院_百度百科	华中科技大学文华学院是国家教育部批准设立的本科层次的普通高校，2003年5月成立，由华中科技大学与武汉美联集团共同举办，具有独立的法人资格。...
华中科技大学	华中科技大学发展规划研究室	[发展规划研究通讯]2008年第二期 华中科技大学大事记（2000.5－2008.5） 2008-7-2 [发展规划研究通讯]2008年第一期 电气学院近年来的变化令人振奋 2008-7-2 ...
华中科技大学	华中科技大学经济学院	2000年6月,原华中理工大学与同济医科大学、武汉城建学院组建新校后成立。
华中科技大学	华中科技大学管理学院	含学院介绍、学科设置、学生工作、各种学位教育、以及网上图书馆等。
华中科技大学	华中科技大学文华学院 -- 首页	华中科技大学文华学院官方网站,是华中科技大学文华学院党委宣传部主办。
华中科技大学	华中科技大学同济医学院	华中科技大学同济医学院,其前身为德国医师宝隆博士于1907年创建的上海德文医学堂。
华中科技大学	华中科技大学	全国重点大学,由原华中理工大学、原同济医科大学、原武汉城市建设学院和科技部干部管理学院于2000年合并成立。设有本科专业74个,硕士学位学科200个,博士点139个,博士后...
华中科技大学	华中科技大学数学与统计学院	Copyright   华中科技大学数学与统计学院 All Rights Reserved 联系地址：湖北省武汉市珞喻路1037号科技大楼909室 邮政编码：430074  E-mail：mathhust@mail.hust....
华中科技大学	华中科技大学同济医学院附属同济医院	同济医院由德国医生宝隆1900年创建于上海，1955年迁至武汉，现附属于华中科技大学同济医学院，是一所集医疗、教学、科研、培干为一体的现代化综合性三级甲等医院。
华中科技大学	华中科技大学外国语学院	华中科技大学外国语学院网站—外国语学院师生信息交流的平台
华中科技大学	公共管理学院-华中科技大学公共管理学院-领导者的摇篮,政府的思想库	华中科技大学公共管理学院（spa.hust.edu.cn）华中科技大学公共管理学院被誉为领导者的摇篮，政府的思想库，是我国成立最早的公共管理学院之一，也是目前中国最好的...
华中科技大学	华中科技大学软件学院	华中科技大学软件学院学生工程实践（含毕业设  华中科技大学软件学院软件工程硕士工程实践与  华中科技大学软件学院研究生教务工作流程  软件学院2010-2011学年第一...
华中科技大学	华中科技大学站点排名信息 -- TOP.Chinalabs.com::中文网站排行榜	简介： 家教育部直属的全国重点大学，由原华中理工大学、同济医科大学、武汉城市建设学院和科技部干部管理学院于2000年合并成立。 标签：社会教育  评分：  ...
华中科技大学	问题库 - 爱问百科全书	读华中科技大学文华学院的专科怎么样 [湖北] 10.08.17 3  华中科技大学武昌分校开学时间 [湖北] 1天前 0  华中科技大学怎样,有什么特色,分数线多少 [湖北] ...
华中科技大学	华中科技大学EMBA-华中科技大学管理学院EDP中心	华中科技大学管理学院始建于 1979 年，经历了由最初的工程经济系、经济管理工程系、经济管理学院、工商管理学院到管理学院的发展历程。现有生产运作与物流管理系、管理...
华中科技大学	华中科技大学新闻与信息传播学院	华中科技大学少年新闻学院招生简章 [2010-06-29]  博士毕业生与导师依依惜别 [2010-06-29]  关于通过HUB系统开展2011年研究生导师聘任上岗的通知 [2010-06-28...
华中科技大学	华中科技大学同济医学院－内科学	内科学》建立了完善的教学评估体系... 更多介绍 友情链接 同济医学院 华中科技大学WELCOME TO INTERNAL MEDICINE SITE OF TONGJI MEDICAL COLLEGE ...
华中科技大学	华中科技大学电子与信息工程系	介绍学院概况、机构设置、科研成果等。
华中科技大学	华中科技大学文华学院 工人撑“船”渡师生	昨日凌晨,华中科技大学文华学院大门口严重渍水,该校大门一度难以通行,附近工人师傅架起浮板撑“船”渡人。 (荆楚网—楚天金报 邹斌、刘蔚丹)
华中科技大学	【论坛嘉宾】华中科技大学教授 万艳华	湖北省房地产经济学会专家委员、华中科技大学建筑与城市规划学院教授。
华中科技大学	企业聚焦铜绿山矿干部重进大学“修炼”	...铜绿山矿领导班子从解放思想、更新观念的高度出发,一改过去“请进来”的学习方式,特安排中层领导干部深入高等学府学习,7月16日,该矿精心组织了90名中层以上管理人员赴华中科技大学管理学院聆听专家讲座,让其切身感受华中科技大学管理学院“企业领袖的摇篮、管理大师的殿堂”的深厚文化底蕴。  ...
华中科技大学	受助公报(浙商助学行动资助名单)	王谢华中科技大学3000元  朱思哲武汉铁路司机学院3000元  张剑超华中科技大学3000元  汪艳霞华中科技大学3000元  聂继凯华中科技大学3000元  鲁泽二十中高二2000元  刘国宾华中科技大学3000元  王佳佳华中科技大学3000元  田莹华中科技大学3000元  余有许武汉工程大学4000元  ...
华中科技大学	华中科技大学 招生77人,新增2专业	受访嘉宾:华中科技大学福建招生组组长张凯  今年福建省的招生计划为77人,均为理科。今年新增了物理学院“物理学”专业、能源与动力工程学院“核工程与核技术”专业。  学校设有新生奖学金,分为一等奖:15000元/人(省内前10名);二等奖:8000元/人(省内前50名);...
华中科技大学	华中科技大学考察团访问新闻学院	6月21日上午,华中科技大学设备处处长余定国教授、教务处处长许晓东教授、实验中心主任张华鸣教授、华中科技大学新闻与信息传播学院院长张昆教授(我院1986届校友)、副院长张顺教授、副院长舒咏平教授一行来新闻学院访问。常务副院长倪宁教授会见来宾,...
华中科技大学	2010年华中科技大学艺术类专业招生简章	华中科技大学是教育部直属的全国重点大学,由原华中理工大学、同济医科大学、武汉城市建设学院合并而成,是涵盖理、工、医、文、管等多学科的综合性大学,是目前国内规模最大、水平一流的高等学府之一,是首批列入国家“211工程”重点建设的大学,是国家“985工程”建设高校之一。 ...
华中科技大学	周济从政之路被爆:听话加出活	陈海春,男,1956年3月3日生,河北定州人氏,华中科技大学发展规划办公室副主任(中层正职),华中科技大学公共管理学院教授、现代领导科学与艺术研究中心主任。自喻为“红色牧师”和“四化”教授,即学术问题通俗化、严肃话题生活化、复杂问题简单化和海龟理论土鳖化。长期在高等学校任职,...
华中科技大学	华中科技大学2011年硕士研究生招生简章	新浪教育讯 华中科技大学2011年硕士研究生招生简章公布,各学院简章陆续更新中。  011 数学与统计学院.doc
华中科技大学	“捐一元”昨起爱心捐献(图)	华中科技大学 5000元  黄丽锋 华中科技大学 5000元  王玉坤 华中科技大学 5000元  汪佳琪 华中师范大学 5000元  桂磊 武汉工程大学 5000元  阮凤强 华中农业大学 5000元  周世伟 华中科技大学 5000元  李玲 湖北经济学院3000元  余瞻 湖北经济学院3000元  闫金芝 ...
华中科技大学	世博辩论赛四强队伍介绍:华中科大	华中科技大学是国家教育部直属的全国重点大学,由原华中理工大学、同济医科大学、武汉城市建设学院于2000年5月26日合并成立,是首批列入国家“211工程”重点建设和国家“985工程”建设高校之一。学校校园占地7000余亩,园内树木葱茏,碧草如茵,环境优雅,景色秀丽,...
华中科技大学	华中科技大学2011年接收推免生攻读硕士说明	华中科技大学同济医学院各院系所的联系方式:武汉市航空路  13号XXX院系所,邮编:430030),研招办联系电话:027-87541746。  ①《华中科技大学2011年接收推荐免试攻读硕士学位和直接攻读博士学位研究生申请表》一份,并由本科所在学校或院系教务部门加盖公章。  ②本科正式成绩单一份,...
华中科技大学	华中科大拟办暑期少年新闻学院	...并通过一天的新闻采写实训课提高学生的新闻实践能力。  “少年新闻学院”得到了武汉晚报的鼎力支持。该报将对“少年新闻学院”学员采写的新闻稿件择优刊登。  据介绍,华中科技大学“少年新闻学院”报名截止时间为7月8日,开课时间为7月15日。详情刊登在华中科技大学新闻学院网站。
华中科技大学	华中科技大学暑期实践队向都昌县太阳村捐款1000元	中国江西新闻网7月28日都昌讯( 袁奇 邱辉强 报道)28日,江西都昌县太阳村迎来了华中科技大学材料科学与工程学院参加暑期社会实践的10名师生,实践队员将平时积攒下来的学院补助1000元爱心款,捐赠给了太阳村。  当日,实践队员们与太阳村的孩子们在食堂里共进午餐,...
华中科技大学	三本院校一志愿投档情况公布	华中科技大学文华学院投档最低分为450分。华中科技大学武昌分校投档最低分为475分。四川大学锦城学院投档最低分为450分。武汉大学东湖分校投档最低分为458分。  各院校一志愿详细投档情况,考生及家长可登录省招考中心网站(http://www.gzszk.com)查询。  另外,昨日,...
华中科技大学	湖北省武汉市洪山区关山文园路58号	教育部直属高校  武汉·中国光谷中心矗立起的独立学院 华中科技大学文华学院简介 学院国标代码:13262 湖北 招生代码:1237 关键词:普通高校 华中科技大学文华学院是国家教育部批准设立的本科层次的全日制普通高等学校,由华中科技大学与武汉美联地产有限公司共同... &gt;&gt;更多
华中科技大学	2010湖北高职一投档线发布 8月11日征集志愿	武汉大学医学院职业技术学院 412 439 武汉大学东湖分校 395 410 华中科技大学高等技术学院 401 407 华中科技大学文华学院 395 407 华中科技大学武昌分校 408 410 华中师范大学 360 380 梧州学院 360 380 南昌大学 389 380 中国...
华中科技大学	利群阳光第三批资助学子名单出炉	华中科技大学  姜潇 女 430723199201170027 525(理) 合肥学院  齐凤 女 43072419920218542X 570(文) 湖南科技大学  李晓娇 女 430923199209076327 600(职高类) 湖南师范大学  彭俊辉 男 43252419890720325X 611(文) 华中科技大学  周向荣 女 430702199112023023 521(理) 湖南文理学院  ...
华中科技大学	海南三本录取结束 海大三亚学院生源好过往年	学院—金审学院、华东交通大学—理工学院、厦门大学—嘉庚学院和江西师范大学—科学技术学院等10所院校,所录取的考生成绩均不低于我省本科二批录取最低控制分数线;在理工类招生的华中科技大学—武昌分校、华北电力大学—科技学院和华中科技大学—文华学院等13所院校的最低录取分数都达到560分以上,...
华中科技大学	“慈善之星”喻友旺定向资助竹溪80名学生	华中科技大学  师丽 竹溪 湖北工业大学  唐宁 竹溪 湖北经济学院  王娇 竹溪 湖北大学  刘锐 竹溪 西安电子科技大学  张仕钊 竹溪 兰州理工大学  陈涛 竹溪 武汉纺织大学  张明 竹溪 湖北警官学院  隆俊 竹溪 湖北工业大学  汪奎 竹溪 湖北大学  邹骏 竹溪 ...
华中科技大学	欢迎来到华中科技大学人事处	华中科技大学 华中科技大学人才招聘网...华中科技大学中欧清洁与可再生能源学院(筹)招聘 电子科学与技术系招聘启事 国际教育学院招聘启事...校人【2007】38号关于印发《华中科技大学返聘人员管理办法》的通知...
华中科技大学	华中科技大学计算机科学与技术学院	华中科技大学计算机学院下设计算机科学与工程系、计算机科学系、计算机科学与应用系和信息安全系等四个系。网站包括计算机学院概况、学院附属单位、学科建设等内容。
华中科技大学	华中科技大学远程与继续教育学院	华中科技大学远程与继续教育学院是2005年7月由原华中科技大学网络教育学院、继续教育学院、同济医学院成教部合并组建而成的新型学院。网站包括教学管理、远程技术、学工动态等。
华中科技大学	华中科技大学考研网 - 华中科技大学研究生招生信息网 - 华中科技...	"华中科技大学是国家教育部直属的全国重点大学,是目前国内规模最大、水平一流的多学科综合性大学之一,是国家""211工程""...华中科技大学材料学院2010年硕士复试分数线基本要求 2010-03-29..."
华中科技大学	华中科技大学_新浪院校库_新浪教育_新浪网	"华中科技大学是国家教育部直属的全国重点大学,由原华中理工大学、同济医科大学、武汉城市建设学院于2000年5月26日合并成立,是首批列入国家""211工程""重点建设和""985工程""建设的大学。..."

------------->第2类：论坛	BBS	贴吧	吧	社区	？		<-------------
华中科技大学	华中大地带 -华中科技大学论坛	华中大地带 -华中科技大学学生论坛，找到属于你的地带
华中科技大学	华中科技大学武昌分校论坛	华中科技大学武昌分校论坛  首页 社区图片  最新主题 最新回复 热门主题 随机精华 拥抱clever boy lprc4223782我们学校的学位证可以补吗？ jjykjsxm《农村经济与科技...
华中科技大学	华中科技大学_论坛_华科论坛_华中科技大学武昌分校_BBS	华中科技大学学子打造的非官方网站-论坛，定位为打造为校友更好服务的公益交流平台！华中科技大学武昌分校是教育部于2000年批准成立的本科层次的全日制普通高等学校，是...
华中科技大学	华中科技大学BBS 华中科技大学论坛 华科论坛 华科BBS 华中科技大...	华中科技大学BBS ,华中科技大学,华中科技大学BBS 华中科大, 华科大论坛 华中科大论坛 ,华中科技大学 简称华中大 位于湖省武汉 喻家山畔，学校占地7000余亩 华中科技...
华中科技大学	华中科技大学考研论坛 华中科技大学考研bbs |华中科技大学bbs|华...	华中科技大学考研论坛 华中科技大学考研论坛 华中科技大学考研网,华中科技大学考研论坛由华中科技大学在读研究生创办,提供华中科技大学考研的第一手资讯,免费提供华中科技...
华中科技大学	华中科技大学校友总会	访问华中科技大学首页 设为首页 加入收藏 华中科技大学校友会 首页 校友会介绍 ... 2010-08-20 我校企业家协会第三届企业家论坛在沪圆满闭幕 2010-08-19 我校...
华中科技大学	华中科技大学 - 湖北院校 - 研友网|研究生论坛 研友|考研论坛|...	华中科技大学 研友网|研究生论坛 研友网www.iyanyou.com是专一的考研与在研朋友交流交友平台，结合了考研论坛及研究生论坛，提供找研友、研友之家等服务，及时的...
华中科技大学	院士“根叔”连任华中科大校长	(记者陈博雷 实习生陈祥华 李文静)前日晚,华中科大新闻网发布消息:国务院7月10日决定,李培根继续担任华中科技大学校长(副部级)。  昨晚,记者拨通李培根的电话祝贺其连任,李培根连声道谢。他表示,刚从外地返汉,他将一如既往地关心学生,将学校工作做好。  记者在华中科大校园论坛上看到,...
华中科技大学	关爱留守儿童:鲁健将携“众基金”明星团队抵青城	新报讯(记者高瑞锋)“众基金”和华中科技大学EMBA内蒙古教学中心6月19日召开新闻发布会,宣布央视著名主持人鲁健将于6月26日抵呼,主持华中科技大学EMBA硕士学位2010级内蒙古班开学典礼及高峰论坛。同时,...
华中科技大学	欢迎光临白云黄鹤BBS站	武汉白云黄鹤站,华中地区网络中心,BBS
华中科技大学	华中科技大学，这所大学怎么样？有名气吗？_爱问知识人	华中科技大学，这所大学怎么样？有名气吗？... 华中科技大学，这所大学怎么样？有名气吗？0分  标签...华中科技大学是一所非常好的学校，在理工科院校中是佼佼者...

------------->第3类：怎么样	问答	知道	攻略	指南	百科		<-------------
华中科技大学	华中科技大学，这所大学怎么样？有名气吗？_爱问知识人	华中科技大学，这所大学怎么样？有名气吗？... 华中科技大学，这所大学怎么样？有名气吗？0分  标签...华中科技大学是一所非常好的学校，在理工科院校中是佼佼者...
华中科技大学	问题库 - 爱问百科全书	读华中科技大学文华学院的专科怎么样 [湖北] 10.08.17 3  华中科技大学武昌分校开学时间 [湖北] 1天前 0  华中科技大学怎样,有什么特色,分数线多少 [湖北] ...
华中科技大学	华中科技大学研究生就业信息网	华中科技大学研究生就业工作管理办法 2009-2-11  毕业研究生就业指导问答 2007-1-16  2008年上海户口评分标准 2008-12-24  创业计划书写作指南 2009-6-1  ...
华中科技大学	华中科技大学就业网	中国地质大学(武汉)研究生会,最新动态，校园信息，就业指南,生活服务

------------->第4类：首页	高考	网站	新闻网	中心	研究	主页	学部	图书馆	期刊网	报	系统		<-------------
华中科技大学	华中科技大学武昌分校论坛	华中科技大学武昌分校论坛  首页 社区图片  最新主题 最新回复 热门主题 随机精华 拥抱clever boy lprc4223782我们学校的学位证可以补吗？ jjykjsxm《农村经济与科技...
华中科技大学	华中科技大学校友总会	访问华中科技大学首页 设为首页 加入收藏 华中科技大学校友会 首页 校友会介绍 ... 2010-08-20 我校企业家协会第三届企业家论坛在沪圆满闭幕 2010-08-19 我校...
华中科技大学	华中科技大学本科生就业信息网	华中科技大学大学生就业信息网 首页 最新动态 通知公告 招聘信息 招聘信息...?版权所有:华中科技大学就业指导中心 Tel:027-87542328 Fax:027-87543914 Mail:job@mail.hust.edu.cn...
华中科技大学	【DOC】华中师范大学2008年自主选拔录取申请表	文件格式:DOC/Microsoft Word - HTML版 如本人被确定为华中师范大学自主选拔录取的入围人选,我将在填报高考志愿时第一志愿报考华中师范大学.我本着诚实,严谨的态度郑重向贵校递交申请材料....
华中科技大学	华中科技大学往年录取分数表-中国教育在线	研招咨询 高职高专 高考招生 公务员 软件学院 远程教育 专题汇总 大学导航 在线...华中科技大学2002年录取情况统计表 华中科技大学在湖北省理科最低录取分数确定...
华中科技大学	华中科技大学高考招生——高考填报志愿参考系统	权威发布华中科技大学2009年高考招生信息查询，内容包括2009年高考招生计划和招生简章查询、2008年各省及高校历年录取分数线查询、2008年分专业录取分数线查询，并提供2009...
华中科技大学	双胞胎兄弟同考进华中科大 高中评语完全相同	一对双胞胎兄弟被华中科技大学同时录取,而高中班主任给他们的评语竟然也完全相同。昨(21)日,记者拿到两人的高考报名登记表仔细对比,发现75个字的评语一字不差。  毕业于湖北荆州市石首一中的这对双胞胎,哥哥叫鲁梦飞,弟弟叫鲁梦翔,今年高考理科分别考出616分和625分。...
华中科技大学	华中科技大学2010年高考录取结果查询系统开通	人民网教育讯 华中科技大学2010年高考录取结果查询系统开通,
华中科技大学	华中科技大学电气与电子工程学院	华中科技大学电气与电子工程学院网站 ... 四川大学电气信息学院雷勇副院长一行来院交 李培根校长到电气学院考察调研 “亚狮龙”杯羽毛球赛电气学院喜获亚军
华中科技大学	2008年华中科技大学考研复试分数线基本要求	2008年3月18日...各院（系、所）复试细则和复试名单将于近期公布，请各位考生关注各院（系、所）网站和华中科技大学研招网。热点关注  复试调剂 专业学位 考试大纲 ...
华中科技大学	华中大在线-华中科技大学门户网站	华中科技大学门户网站。
华中科技大学	华中科技大学_论坛_华科论坛_华中科技大学武昌分校_BBS	华中科技大学学子打造的非官方网站-论坛，定位为打造为校友更好服务的公益交流平台！华中科技大学武昌分校是教育部于2000年批准成立的本科层次的全日制普通高等学校，是...
华中科技大学	华中科技大学文华学院 -- 首页	华中科技大学文华学院官方网站,是华中科技大学文华学院党委宣传部主办。
华中科技大学	华中科技大学社团网 - 华中科技大学社团网	华中科技大学社团网是华中科技大学社团门户网站。由华中科技大学社团联合会创建、管理，为全校102个校级学生社团及其会员提供新闻资讯、网上办公、活动发布等功能的社团综...
华中科技大学	欢迎来到华中科技大学学工在线首页	是华中科技大学学生工作处的网站,解决助学金,招生等问题的网站。
华中科技大学	华中科技大学法学院	介绍该院最新消息与新闻,同时为华中大法律网站。
华中科技大学	华中科技大学外国语学院	华中科技大学外国语学院网站—外国语学院师生信息交流的平台
华中科技大学	华中科技大学网站称李培根连任该校校长	本报讯(记者 朱建华)华中科技大学21日在该校网站上发布消息,李培根继续担任校长。  21日,该校接到了国务院《关于李培根任职的通知》(国人字[2010]59号)的文件,具体内容为:国务院2010年7月10日决定,李培根继续担任华中科技大学校长。  生于1948年的李培根,...
华中科技大学	华中科大拟办暑期少年新闻学院	...并通过一天的新闻采写实训课提高学生的新闻实践能力。  “少年新闻学院”得到了武汉晚报的鼎力支持。该报将对“少年新闻学院”学员采写的新闻稿件择优刊登。  据介绍,华中科技大学“少年新闻学院”报名截止时间为7月8日,开课时间为7月15日。详情刊登在华中科技大学新闻学院网站。
华中科技大学	教育部任命华中科技大学八位新副校长	·给华中科技大学校长留言  北京7月27日电(记者 李婧)今天,记者从 网站获悉,近日 华中科技大学八位新任副 接受 任命。其中两位是常务副校长。  教育部发出通知表示,经研究决定,任命林萍华、丁汉初为华中科技大学常务副校长(正厅级),...
华中科技大学	三本院校一志愿投档情况公布	华中科技大学文华学院投档最低分为450分。华中科技大学武昌分校投档最低分为475分。四川大学锦城学院投档最低分为450分。武汉大学东湖分校投档最低分为458分。  各院校一志愿详细投档情况,考生及家长可登录省招考中心网站(http://www.gzszk.com)查询。  另外,昨日,...
华中科技大学	华中科技大学计算机科学与技术学院	华中科技大学计算机学院下设计算机科学与工程系、计算机科学系、计算机科学与应用系和信息安全系等四个系。网站包括计算机学院概况、学院附属单位、学科建设等内容。
华中科技大学	华中科技大学远程与继续教育学院	华中科技大学远程与继续教育学院是2005年7月由原华中科技大学网络教育学院、继续教育学院、同济医学院成教部合并组建而成的新型学院。网站包括教学管理、远程技术、学工动态等。
华中科技大学	院士“根叔”连任华中科大校长	(记者陈博雷 实习生陈祥华 李文静)前日晚,华中科大新闻网发布消息:国务院7月10日决定,李培根继续担任华中科技大学校长(副部级)。  昨晚,记者拨通李培根的电话祝贺其连任,李培根连声道谢。他表示,刚从外地返汉,他将一如既往地关心学生,将学校工作做好。  记者在华中科大校园论坛上看到,...
华中科技大学	华中科技大学暑期实践队向都昌县太阳村捐款1000元	中国江西新闻网7月28日都昌讯( 袁奇 邱辉强 报道)28日,江西都昌县太阳村迎来了华中科技大学材料科学与工程学院参加暑期社会实践的10名师生,实践队员将平时积攒下来的学院补助1000元爱心款,捐赠给了太阳村。  当日,实践队员们与太阳村的孩子们在食堂里共进午餐,...
华中科技大学	华中科技大学 图像所	华中科技大学 研究生就业网 研究生招生信息网 喻园晨光 华中地区网络中心 白云黄鹤 虹软 中国OCR信息网
华中科技大学	华中科技大学管理学院MBA	&#169; 华中科技大学MBA教育中心 办公地点:管理大楼432室 联系电话:027-87541915,027-87541806 EMAIL:mba@hust.edu.cn
华中科技大学	华中科技大学本科生就业信息网	三年资教 终身财富：华中大6学子今[05-18]  2010届毕业生就业政策信息交流会... 版权所有：华中科技大学就业指导中心  Tel:027-87542328 Fax:027-87543914 Mail...
华中科技大学	华中科技大学化学与化工学院	华中科技大学化学与化工学院设有应用化学、化学工程两个系、一个实验教学中心和无机与化学生物学、有机与精细化工、分析科学、物化与工业催化、材料与环境化学、高分子...
华中科技大学	【DOC】华中科技大学2008年招收攻读博士学位研究生简章	文件格式:DOC/Microsoft Word - HTML版 华中科技大学综合办学实力和整体水平居全国重点大学前列.建有一批高水平的研究中心,其中有强磁场实验装置(在建),武汉光电国家实验室(筹),国家工程研究中心5个,国家...
华中科技大学	欢迎光临白云黄鹤BBS站	武汉白云黄鹤站,华中地区网络中心,BBS
华中科技大学	千七创新平台共筑产学研重要载体	如2007年华中科技大学与东莞市人民政府共同投入2.4元,建立了华中科技大学制造工程研究院成为了省部产学研合作重大创新平台的一面旗帜。  3年来,工研院充分利用华中科技大学在制造学科的七个国家级研发机构的优势资源,在东莞设立分中心及相关研发机构,...
华中科技大学	华中科技大学考察团访问新闻学院	6月21日上午,华中科技大学设备处处长余定国教授、教务处处长许晓东教授、实验中心主任张华鸣教授、华中科技大学新闻与信息传播学院院长张昆教授(我院1986届校友)、副院长张顺教授、副院长舒咏平教授一行来新闻学院访问。常务副院长倪宁教授会见来宾,...
华中科技大学	关爱留守儿童:鲁健将携“众基金”明星团队抵青城	新报讯(记者高瑞锋)“众基金”和华中科技大学EMBA内蒙古教学中心6月19日召开新闻发布会,宣布央视著名主持人鲁健将于6月26日抵呼,主持华中科技大学EMBA硕士学位2010级内蒙古班开学典礼及高峰论坛。同时,...
华中科技大学	周济从政之路被爆:听话加出活	陈海春,男,1956年3月3日生,河北定州人氏,华中科技大学发展规划办公室副主任(中层正职),华中科技大学公共管理学院教授、现代领导科学与艺术研究中心主任。自喻为“红色牧师”和“四化”教授,即学术问题通俗化、严肃话题生活化、复杂问题简单化和海龟理论土鳖化。长期在高等学校任职,...
华中科技大学	湖北省武汉市洪山区关山文园路58号	教育部直属高校  武汉·中国光谷中心矗立起的独立学院 华中科技大学文华学院简介 学院国标代码:13262 湖北 招生代码:1237 关键词:普通高校 华中科技大学文华学院是国家教育部批准设立的本科层次的全日制普通高等学校,由华中科技大学与武汉美联地产有限公司共同... &gt;&gt;更多
华中科技大学	华中科技大学	学校办公室 、 学校发展规划研究室 、 保密委员会办公室 负责党委、行政系统的公文处理；校内外协调和接待工作；校友联络；信息化建设与统计；信访；学校发展规划研究；学校领导交办 ... 产业集团 管理学校和各院、系办的科技产业；有关国有 ...
华中科技大学	病理生理学 - 202.114.128.246	课 程 简 介. 病理生理学（Pathophysiology）主要任务是研究疾病的病因、发病机制和患病机体的代谢和机能变化，为疾病的防治提供理论和实验依据，是医学教学中的一门 ...
华中科技大学	华中科技大学研究生就业信息网	华中科技大学研究生就业工作管理办法 2009-2-11  毕业研究生就业指导问答 2007-1-16  2008年上海户口评分标准 2008-12-24  创业计划书写作指南 2009-6-1  ...
华中科技大学	华中科技大学就业网	中国地质大学(武汉)研究生会,最新动态，校园信息，就业指南,生活服务
华中科技大学	华中科技大学环境学院	『学院概况』 学院简介 组织机构 学院年鉴 现任领导 制度建设  『人才培养』 本科生工作 研究生工作 博士生工作  『师资力量』 院士风采 教师队伍 研究生导师 ...
华中科技大学	华中科技大学bbs吧_贴吧	共有主题数:123个 贴子数:189篇 ...寻华中科技大学药物分析学专业的学长学姐. ...本人想考贵校公共管理学院的人力资源管理研究生，寻求相关专... ...求购华中...
华中科技大学	2006华中科技大学考研复试分数线及复试要求_分数线_考研_教育_腾...	相关连接：华中科技大学2005硕士生入学考试复试分数线  华中科技大学 2006 年硕士研究生复试办法  复试工作是研究生招生考试的重要组成部分，是保证生源质量的关键...
华中科技大学	华中科技大学全国工程硕士网站	近年来华中科技大学的研究生教育和学科建设得到快速发展。美国SINCE杂志将华中科技大学排为中国大学的第八名，称为“中国发展最快的大学”。2002年5月，人民日报社...
